,Volume,Surface,Mean Breadth,Euler Characteristic
1,563280,121833.37,395.232,-65
2,563996,117811.738,454.396,14
3,566419,120434.976,427.974,-18.5
4,580770,125033.537,393.154,-55
5,567671,120933.323,438.222,-27
6,582216,116455.783,234.182,24.5
7,572892,122322.17,401.732,-3.5
8,561516,120913.498,574.329,-78
9,583947,121510.211,302.028,-14
10,578351,123374.161,389.781,-30.5
11,559265,118731.045,495.016,-20.5
12,555132,119482.098,302.366,-49
13,570231,118640.012,447.371,23
14,550876,118344.127,622.924,-42
15,567250,121192.723,488.408,-41.5
16,564125,123004.097,527.372,-56.5
17,548252,118928.711,583.204,-18
18,559147,117777.347,258.942,59
19,560775,121979.349,417.885,-32.5
20,565786,118148.191,376.893,-39
21,556479,119227.821,282.796,-11
22,551740,118195.008,433.469,-53
23,536015,117257.189,579.133,-29
24,584507,122235.847,307.571,-34.5
25,572246,120032.551,207.322,5.5
26,588112,122699.114,363.105,-59
27,557689,118538.408,470.79,19
28,555767,121771.926,528.631,-22.5
29,563438,121397.056,581.661,-29
30,561489,122141.389,424.16,-62
31,588609,123318.714,217.405,-18
32,563657,118411.709,451.973,-23.5
33,568296,120746.075,449.125,-31.5
34,559302,116820.887,375.231,16
35,558353,121739.243,512.368,-93.5
36,559652,119714.894,426.567,-31
37,568109,120089.793,511.332,-30
38,563067,119497.694,638.908,-21.5
39,548600,119918.932,446.511,24
40,571678,118997.335,281.656,-74
41,552069,119912.059,378.953,-46.5
42,573158,122633.027,410.003,-52.5
43,584775,121257.8,259.126,-22
44,575413,120901.239,293.996,-14.5
45,558831,123491.856,524.049,-67.5
46,565432,120374.619,534.61,-74.5
47,566298,117273.616,261.666,36
48,570050,121803.92,439.285,-53.5
49,580573,120523.024,297.286,-37
50,550573,118371.897,453.985,-37.5
51,566181,118765.644,457.865,-28.5
52,565198,120819.544,360.48,-12
53,580141,123895.73,151.432,-50.5
54,573881,122582.2,336.782,-66
55,547498,119173.06,537.099,-41.5
56,566777,118070.367,498.741,-75
57,571881,121800.976,419.343,-28.5
58,558207,119680.675,396.185,-64.5
59,564903,122145.223,470.464,33
60,573980,121354.252,425.24,-37
61,553889,119916.343,399.499,-45
62,589806,119117.956,185.966,-14
63,567879,120803.903,425.56,-35
64,583651,121391.747,409.076,-32
