Noise1,volume,surface,mean breadth,euler
dlatent b*0.0,1531556,354473.669,372.598,-884
dlatent b*0.25,1503981,364594.721,303.853,-1396
dlatent b*0.5,1476032,386100.521,-1439.37,-2446.5
dlatent b*0.75,1445531,407427.752,-1773.117,-2618
dlatent b*1.0,1417246,417135.293,-1532.765,-1889.5
,,,,
Noise2,volume,surface,mean breadth,euler
dlatent b*0.0,1548326,343096.367,363.468,-913
dlatent b*0.25,1511902,355604.196,183.044,-1257.5
dlatent b*0.5,1473283,381552.652,-786.791,-2311.5
dlatent b*0.75,1446403,408017.386,-1138.359,-2345
dlatent b*1.0,1421677,423194.046,-1280.037,-1765
,,,,
Noise3,volume,surface,mean breadth,euler
dlatent b*0.0,1543431,337218.231,547.737,-980
dlatent b*0.25,1511514,344918.043,354.514,-1011
dlatent b*0.5,1475649,388408.01,-845.183,-2107.5
dlatent b*0.75,1439216,405570.224,-1142.014,-1926.5
dlatent b*1.0,1405192,416810.281,-1097.111,-1407.5
